,Date,Volume,Price,Price_1d,Price_2d,Price_3d,Nasdaq,Nasdaq_1d,Nasdaq_2d,Nasdaq_3d,neg_per
55,2020-03-23,82272500,86.858002,85.505997,85.52799999999999,72.244003,6860.669922,6879.52002,7150.580078,6989.839844,0.3448275862068966
56,2020-03-24,114476000,101.0,86.858002,85.505997,85.52799999999999,7417.859863,6860.669922,6879.52002,7150.580078,0.3123877917414722
57,2020-03-25,106113500,107.849998,101.0,86.858002,85.505997,7384.299805,7417.859863,6860.669922,6879.52002,0.222007722007722
58,2020-03-26,86903500,105.632004,107.849998,101.0,86.858002,7797.540039,7384.299805,7417.859863,6860.669922,0.29980276134122286
59,2020-03-27,71887000,102.872002,105.632004,107.849998,101.0,7502.379883,7797.540039,7384.299805,7417.859863,0.2744360902255639
60,2020-03-30,59990500,100.426003,102.872002,105.632004,107.849998,7774.149901999999,7502.379883,7797.540039,7384.299805,0.28603603603603606
61,2020-03-31,88857500,104.800003,100.426003,102.872002,105.632004,7700.100098000001,7774.149901999999,7502.379883,7797.540039,0.28063241106719367
62,2020-04-01,66766000,96.311996,104.800003,100.426003,102.872002,7360.580078,7700.100098000001,7774.149901999999,7502.379883,0.2714723926380368
63,2020-04-02,99292000,90.893997,96.311996,104.800003,100.426003,7487.310059,7360.580078,7700.100098000001,7774.149901999999,0.2894356005788712
64,2020-04-03,22562100,96.001999,90.893997,96.311996,104.800003,7373.080078,7487.310059,7360.580078,7700.100098000001,0.2544
65,2020-04-06,14901800,103.248001,96.001999,90.893997,96.311996,7913.240234000001,7373.080078,7487.310059,7360.580078,0.22117962466487937
66,2020-04-07,17919800,109.089996,103.248001,96.001999,90.893997,7887.259765999999,7913.240234000001,7373.080078,7487.310059,0.21197411003236247
67,2020-04-08,12656000,109.767998,109.089996,103.248001,96.001999,8090.899901999999,7887.259765999999,7913.240234000001,7373.080078,0.34393939393939393
68,2020-04-09,13650000,114.599998,109.767998,109.089996,103.248001,8153.580078,8090.899901999999,7887.259765999999,7913.240234000001,0.296028880866426
69,2020-04-13,22475400,130.190002,114.599998,109.767998,109.089996,8192.419922,8153.580078,8090.899901999999,7887.259765999999,0.24693877551020407
70,2020-04-14,30576500,141.977997,130.190002,114.599998,109.767998,8515.740234,8192.419922,8153.580078,8090.899901999999,0.24717285945072698
71,2020-04-15,23577000,145.966003,141.977997,130.190002,114.599998,8393.179688,8515.740234,8192.419922,8153.580078,0.24190800681431004
72,2020-04-16,20657900,149.042007,145.966003,141.977997,130.190002,8532.360352,8393.179688,8515.740234,8192.419922,0.27380952380952384
73,2020-04-17,13128200,150.778,149.042007,145.966003,141.977997,8650.139648,8532.360352,8393.179688,8515.740234,0.2859744990892532
74,2020-04-20,14746600,149.272003,150.778,149.042007,145.966003,8560.730469,8650.139648,8532.360352,8393.179688,0.25225225225225223
75,2020-04-21,20209100,137.34399399999998,149.272003,150.778,149.042007,8263.230469,8560.730469,8650.139648,8532.360352,0.2672727272727273
76,2020-04-22,14224800,146.421997,137.34399399999998,149.272003,150.778,8495.379883,8263.230469,8560.730469,8650.139648,0.23135755258126195
77,2020-04-23,13236700,141.12600700000004,146.421997,137.34399399999998,149.272003,8494.75,8495.379883,8263.230469,8560.730469,0.20987654320987653
78,2020-04-24,13237600,145.029999,141.12600700000004,146.421997,137.34399399999998,8634.519531,8494.75,8495.379883,8263.230469,0.2971014492753623
79,2020-04-27,20681400,159.75,145.029999,141.12600700000004,146.421997,8730.160156,8634.519531,8494.75,8495.379883,0.29711375212224106
80,2020-04-28,15222000,153.824005,159.75,145.029999,141.12600700000004,8607.730469,8730.160156,8634.519531,8494.75,0.2375
81,2020-04-29,16216000,160.102005,153.824005,159.75,145.029999,8914.709961,8607.730469,8730.160156,8634.519531,0.2934322033898305
82,2020-04-30,28471900,156.37600700000004,160.102005,153.824005,159.75,8889.549805,8914.709961,8607.730469,8730.160156,0.31786074672048437
83,2020-05-01,32531800,140.26400800000002,156.37600700000004,160.102005,153.824005,8604.950195,8889.549805,8914.709961,8607.730469,0.3373015873015873
84,2020-05-04,19237100,152.238007,140.26400800000002,156.37600700000004,160.102005,8710.709961,8604.950195,8889.549805,8914.709961,0.27729885057471265
85,2020-05-05,16991700,153.641998,152.238007,140.26400800000002,156.37600700000004,8809.120117,8710.709961,8604.950195,8889.549805,0.20185922974767595
86,2020-05-06,11123200,156.516006,153.641998,152.238007,140.26400800000002,8854.389648,8809.120117,8710.709961,8604.950195,0.19607843137254902
87,2020-05-07,11527700,156.007996,156.516006,153.641998,152.238007,8979.660156,8854.389648,8809.120117,8710.709961,0.2820121951219512
88,2020-05-08,16130100,163.884003,156.007996,156.516006,153.641998,9121.320313,8979.660156,8854.389648,8809.120117,0.27629513343799056
89,2020-05-11,16519600,162.257996,163.884003,156.007996,156.516006,9192.339844,9121.320313,8979.660156,8854.389648,0.36128048780487804
90,2020-05-12,15906900,161.882004,162.257996,163.884003,156.007996,9002.549805,9192.339844,9121.320313,8979.660156,0.3462041884816754
91,2020-05-13,19065500,158.192001,161.882004,162.257996,163.884003,8863.169922,9002.549805,9192.339844,9121.320313,0.3282773564463705
92,2020-05-14,13682200,160.666,158.192001,161.882004,162.257996,8943.719727,8863.169922,9002.549805,9192.339844,0.415929203539823
93,2020-05-15,10518400,159.834,160.666,158.192001,161.882004,9014.55957,8943.719727,8863.169922,9002.549805,0.3342857142857143
94,2020-05-18,11698100,162.725998,159.834,160.666,158.192001,9234.830078,9014.55957,8943.719727,8863.169922,0.2357473035439137
95,2020-05-19,9636500,161.602005,162.725998,159.834,160.666,9185.099609,9234.830078,9014.55957,8943.719727,0.2870229007633588
96,2020-05-20,7309300,163.112,161.602005,162.725998,159.834,9375.780273,9185.099609,9234.830078,9014.55957,0.3054187192118227
97,2020-05-21,12254600,165.520004,163.112,161.602005,162.725998,9284.879883,9375.780273,9185.099609,9234.830078,0.24107142857142858
98,2020-05-22,9976900,163.37600700000004,165.520004,163.112,161.602005,9324.589844,9284.879883,9375.780273,9185.099609,0.22039473684210525
99,2020-05-26,40448500,163.774002,163.37600700000004,165.520004,163.112,9340.219727,9324.589844,9284.879883,9375.780273,0.23689727463312368
100,2020-05-27,57747500,164.046005,163.774002,163.37600700000004,165.520004,9412.360352,9340.219727,9324.589844,9284.879883,0.21120689655172414
101,2020-05-28,36278000,161.162003,164.046005,163.774002,163.37600700000004,9368.990234,9412.360352,9340.219727,9324.589844,0.21363636363636362
102,2020-05-29,59062500,167.0,161.162003,164.046005,163.774002,9489.870117,9368.990234,9412.360352,9340.219727,0.19971671388101983
103,2020-06-01,74697500,179.619995,167.0,161.162003,164.046005,9552.049805,9489.870117,9368.990234,9412.360352,0.29411764705882354
104,2020-06-02,67828000,176.311996,179.619995,167.0,161.162003,9608.379883,9552.049805,9489.870117,9368.990234,0.2112676056338028
105,2020-06-03,39747500,176.591995,176.311996,179.619995,167.0,9682.910156,9608.379883,9552.049805,9489.870117,0.1912280701754386
106,2020-06-04,44438500,172.87600700000004,176.591995,176.311996,179.619995,9615.80957,9682.910156,9608.379883,9552.049805,0.2805755395683453
107,2020-06-05,39059500,177.132004,172.87600700000004,176.591995,176.311996,9814.080078,9615.80957,9682.910156,9608.379883,0.19573643410852712
108,2020-06-08,70873500,189.983994,177.132004,172.87600700000004,176.591995,9924.75,9814.080078,9615.80957,9682.910156,0.23644578313253012
109,2020-06-09,56941000,188.134003,189.983994,177.132004,172.87600700000004,9953.75,9924.75,9814.080078,9615.80957,0.23645970937912814
110,2020-06-10,92817000,205.009995,188.134003,189.983994,177.132004,10020.349609,9953.75,9924.75,9814.080078,0.17933130699088146
111,2020-06-11,79582500,194.567993,205.009995,188.134003,189.983994,9492.730469,10020.349609,9953.75,9924.75,0.23613963039014374
112,2020-06-12,83817000,187.05599999999998,194.567993,205.009995,188.134003,9588.80957,9492.730469,10020.349609,9953.75,0.19047619047619047
113,2020-06-15,78486000,198.179993,187.05599999999998,194.567993,205.009995,9726.019531,9588.80957,9492.730469,10020.349609,0.22857142857142856
114,2020-06-16,70255500,196.425995,198.179993,187.05599999999998,194.567993,9895.870117,9726.019531,9588.80957,9492.730469,0.20842824601366744
115,2020-06-17,49454000,198.358002,196.425995,198.179993,187.05599999999998,9910.530273,9895.870117,9726.019531,9588.80957,0.25335120643431636
116,2020-06-18,48759500,200.792007,198.358002,196.425995,198.179993,9943.049805,9910.530273,9895.870117,9726.019531,0.1991643454038997
117,2020-06-19,43398500,200.179993,200.792007,198.358002,196.425995,9946.120117,9943.049805,9910.530273,9895.870117,0.21706586826347304
118,2020-06-22,31812000,198.863998,200.179993,200.792007,198.358002,10056.480469,9946.120117,9943.049805,9910.530273,0.26142857142857145
119,2020-06-23,31826500,200.356003,198.863998,200.179993,200.792007,10131.370117,10056.480469,9946.120117,9943.049805,0.2838235294117647
120,2020-06-24,54798000,192.169998,200.356003,198.863998,200.179993,9909.169922,10131.370117,10056.480469,9946.120117,0.27395209580838326
121,2020-06-25,46272500,197.195999,192.169998,200.356003,198.863998,10017.0,9909.169922,10131.370117,10056.480469,0.307475317348378
122,2020-06-26,44274500,191.947998,197.195999,192.169998,200.356003,9757.219727,10017.0,9909.169922,10131.370117,0.2710843373493976
123,2020-06-29,45132000,201.869995,191.947998,197.195999,192.169998,9874.150391,9757.219727,10017.0,9909.169922,0.2273342354533153
124,2020-06-30,84592500,215.962006,201.869995,191.947998,197.195999,10058.769531,9874.150391,9757.219727,10017.0,0.2285012285012285
125,2020-07-01,66634500,223.92599500000003,215.962006,201.869995,191.947998,10154.629883,10058.769531,9874.150391,9757.219727,0.17843583902809415
126,2020-07-02,86250500,241.731995,223.92599500000003,215.962006,201.869995,10207.629883,10154.629883,10058.769531,9874.150391,0.1783783783783784
127,2020-07-06,102849500,274.31601,241.731995,223.92599500000003,215.962006,10433.650391,10207.629883,10154.629883,10058.769531,0.20567375886524822
128,2020-07-07,107448500,277.971985,274.31601,241.731995,223.92599500000003,10343.889648,10433.650391,10207.629883,10154.629883,0.1977077363896848
