,Date,Volume,Price,Price_1d,Price_2d,Price_3d,Nasdaq,Nasdaq_1d,Nasdaq_2d,Nasdaq_3d
136,2020-07-17,46650000,300.167999,300.127991,309.201996,303.359985,10503.19043,10473.830078,10550.490234,10488.580078
137,2020-07-20,85607000,328.600006,300.167999,300.127991,309.201996,10767.089844,10503.19043,10473.830078,10550.490234
138,2020-07-21,80786500,313.67199700000003,328.600006,300.167999,300.127991,10680.360352,10767.089844,10503.19043,10473.830078
139,2020-07-22,70805500,318.466003,313.67199700000003,328.600006,300.167999,10706.129883,10680.360352,10767.089844,10503.19043
140,2020-07-23,121642500,302.614014,318.466003,313.67199700000003,328.600006,10461.419922,10706.129883,10680.360352,10767.089844
141,2020-07-24,96983000,283.399994,302.614014,318.466003,313.67199700000003,10363.179688,10461.419922,10706.129883,10680.360352
142,2020-07-27,80243500,307.920013,283.399994,302.614014,318.466003,10536.269531,10363.179688,10461.419922,10706.129883
143,2020-07-28,79043500,295.298004,307.920013,283.399994,302.614014,10402.089844,10536.269531,10363.179688,10461.419922
144,2020-07-29,47134500,299.821991,295.298004,307.920013,283.399994,10542.94043,10402.089844,10536.269531,10363.179688
145,2020-07-30,38105000,297.49798599999997,299.821991,295.298004,307.920013,10587.80957,10542.94043,10402.089844,10536.269531
146,2020-07-31,61235000,286.152008,297.49798599999997,299.821991,295.298004,10745.269531,10587.80957,10542.94043,10402.089844
147,2020-08-03,44046500,297.0,286.152008,297.49798599999997,299.821991,10902.799805,10745.269531,10587.80957,10542.94043
148,2020-08-04,42075000,297.399994,297.0,286.152008,297.49798599999997,10941.169922,10902.799805,10745.269531,10587.80957
149,2020-08-05,24890000,297.003998,297.399994,297.0,286.152008,10998.400391,10941.169922,10902.799805,10745.269531
150,2020-08-06,29961500,297.91598500000003,297.003998,297.399994,297.0,11108.070313,10998.400391,10941.169922,10902.799805
151,2020-08-07,44482000,290.541992,297.91598500000003,297.003998,297.399994,11010.980469,11108.070313,10998.400391,10941.169922
152,2020-08-10,37611500,283.713989,290.541992,297.91598500000003,297.003998,10968.360352,11010.980469,11108.070313,10998.400391
153,2020-08-11,43129000,274.877991,283.713989,290.541992,297.91598500000003,10782.820313,10968.360352,11010.980469,11108.070313
154,2020-08-12,109494000,310.951996,274.877991,283.713989,290.541992,11012.240234,10782.820313,10968.360352,11010.980469
155,2020-08-13,102126500,324.200012,310.951996,274.877991,283.713989,11042.5,11012.240234,10782.820313,10968.360352
156,2020-08-14,62888000,330.141998,324.200012,310.951996,274.877991,11019.299805,11042.5,11012.240234,10782.820313
157,2020-08-17,101211500,367.127991,330.141998,324.200012,310.951996,11129.730469,11019.299805,11042.5,11012.240234
158,2020-08-18,82372500,377.417999,367.127991,330.141998,324.200012,11210.839844,11129.730469,11019.299805,11042.5
159,2020-08-19,61026500,375.705994,377.417999,367.127991,330.141998,11146.459961,11210.839844,11129.730469,11019.299805
160,2020-08-20,103059000,400.365997,375.705994,377.417999,367.127991,11264.950195,11146.459961,11210.839844,11129.730469
161,2020-08-21,107448000,409.996002,400.365997,375.705994,377.417999,11311.799805,11264.950195,11146.459961,11210.839844
162,2020-08-24,100318000,402.839996,409.996002,400.365997,375.705994,11379.719727,11311.799805,11264.950195,11146.459961
163,2020-08-25,53294500,404.667999,402.839996,409.996002,400.365997,11466.469727,11379.719727,11311.799805,11264.950195
